id,movie_name,directors,actors,movie_rating,genre,duration
3610,SuperBob,Jon Drever,"Brett Goldstein, Catherine Tate, Natalia Tena",8.3,"Action, Comedy, Romance",82 min 
3611,VANish,Bryan Bockbrader,"Maiara Walsh, Tony Todd, Danny Trejo",5.1,"Action, Crime, Horror",79 min 
3612,Hardcore,Ilya Naishuller,"Sharlto Copley, Haley Bennett, Danila Kozlovsky",8.1,"Action, Adventure, Sci-Fi",90 min 
3613,Pain,Steve Rahaman,"Daniel Girace, David Francis Calderazzo, Kim Parshley",7.3,Action,98 min 
3614,Midnight Sex Run,Ted Beck,"Jordan Kessler, Ted Beck, Dave Shalansky",1.5,"Action, Adventure, Comedy",100 min 
3615,Skin Traffik,Ara Paiaya,"Mickey Rourke, Daryl Hannah, Eric Roberts",3.4,"Action, Crime",97 min 
3616,Underdog Kids,Phillip Rhee,"Phillip Rhee, Mirelly Taylor, Max Gail",4.3,"Action, Family",94 min 
3617,Welcome Back,Anees Bazmee,"Anil Kapoor, Nana Patekar, Dimple Kapadia",4.5,"Action, Comedy, Crime",152 min 
3618,Momentum,Stephen S. Campanelli,"Olga Kurylenko, James Purefoy, Morgan Freeman",6.1,"Action, Thriller",96 min 
3619,SPL 2: A Time for Consequences,Pou-Soi Cheang,"Tony Jaa, Andy On, Wu Jing",7.0,"Action, Crime, Drama",120 min 
3620,Slow West,John Maclean,"Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn",7.0,"Action, Thriller, Western",84 min 
3621,Age of Kill,Neil Jones,"Dexter Fletcher, April Pearson, Philip Davis",3.7,Action,86 min 
3622,Callejero,Ray Gallardo,"Martin Santander, Manny Hernandez, Carlos Palomino",6.0,"Action, Drama, Sport",105 min 
3623,Survivor,James McTeigue,"Dylan McDermott, Royce Pierreson, Ben Starr",5.6,"Action, Crime, Thriller",96 min 
3624,Richard the Lionheart: Rebellion,Stefano Milla,"Valeri Alessandro, Elisa Allara, Lucia Allara",3.7,"Action, Adventure, Drama",96 min 
3625,Cowboys vs Dinosaurs,Ari Novak,"Eric Roberts, Rib Hillis, Casey Fitzgerald",2.9,"Action, Sci-Fi",89 min 
3626,Zero,Gyula Nemes,"Udo Kier, Kristian Howard, Martina Kratka",4.4,"Action, Comedy, Drama",83 min 
3627,The Night Crew,Christian Sesma,"Luke Goss, Danny Trejo, Chasty Ballesteros",4.1,"Action, Thriller",89 min 
3628,Awaken,Mark Atkins,"Daryl Hannah, Edward Furlong, Vinnie Jones",3.2,"Action, Horror, Thriller",89 min 
3629,The Last Rescue,Eric Colley,"Brett Cullen, Cody Kasch, Gilles Marini",6.0,"Action, Drama, War",107 min 
3630,Zombie Ninjas vs Black Ops,Rody Claude,"Rebecca Chalon, Adam T Perkins, Korum Ellis",9.0,Action,94 min 
3631,Tevar,Amit Sharma,"Arjun Kapoor, Sonakshi Sinha, Manoj Bajpayee",4.1,"Action, Drama, Romance",157 min 
3632,Zordon of Eltar,Cisco Davis Jr.,"Gene Rush, Cisco Davis Jr., Soni Aralynn",6.2,Action,50 min 
3633,The Demolisher,Gabriel Carrer,"Ry Barrett, Tianna Nori, Jessica Vano",6.1,"Action, Horror, Thriller",85 min 
3634,Pocket Listing,Conor Allyn,"Rob Lowe, Burt Reynolds, Noel Gugliemi",6.9,"Action, Comedy, Crime",92 min 
3635,Detective Byomkesh Bakshy!,Dibakar Banerjee,"Sushant Singh Rajput, Anand Tiwari, Divya Menon",7.8,"Action, Mystery, Thriller",139 min 
3636,Jalaibee,Yasir Jaswal,,7.4,"Action, Crime, Thriller",117 min 
3637,Phantom,Kabir Khan,"Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty",5.2,"Action, Drama, Thriller",136 min 
3638,Jurassic Prey,Mark Polonia,"Houston Baker, James Carolus, Todd Carpenter",1.6,"Action, Horror, Sci-Fi",87 min 
3639,In Dangerous Minds,Hussain Ahmed,"Shawn Alli, James Tackett, Shaker Sangam",7.1,"Action, Drama",90 min 
3640,Time Teens: The Beginning,Ryan Alexander Dewar,"Ian Grieve, Liam Brennan, Andy Gray",7.0,"Action, Adventure, Fantasy",119 min 
3641,Mythica: The Darkspore,Anne K. Black,"Melanie Stone, Adam Johnson, Jake Stormoen",4.1,"Action, Adventure, Fantasy",108 min 
3642,Parallels,Christopher Leone,"Mark Hapka, Jessica Rothe, Eric Jungmann",6.3,"Action, Sci-Fi",83 min 
3643,Vice,Brian A Miller,"Thomas Jane, Bruce Willis, Ambyr Childers",4.1,"Action, Adventure, Sci-Fi",96 min 
3644,Pound of Flesh,Ernie Barbarash,"Jean-Claude Van Damme, Darren Shahlavi, Charlotte Peters",5.1,"Action, Thriller",104 min 
3645,Rz-9,Iain Carson,"Ethan McDowell, Morgan Obenreder, Joshua Marble",2.6,"Action, Sci-Fi",90 min 
3646,Mercenary: Absolution,Keoni Waxman,"Steven Seagal, Byron Mann, Howard Dell",4.3,"Action, Adventure, Crime",96 min 
3647,The Assassin,Hsiao-Hsien Hou,"Qi Shu, Chen Chang, Satoshi Tsumabuki",7.1,"Action, Drama",107 min 
3648,SWAT: Unit 887,Timothy Woodward Jr.,"Tom Sizemore, Mischa Barton, Timothy Woodward Jr.",3.4,"Action, Thriller",96 min 
3649,Blunt Force Trauma,Ken Sanzel,"Mickey Rourke, Freida Pinto, Ryan Kwanten",4.3,Action,97 min 
3650,Bad Ass 3: Bad Asses on the Bayou,Craig Moss,"Danny Trejo, Danny Glover, John Amos",5.3,"Action, Drama",85 min 
3651,Wolf Warrior,Wu Jing,,5.6,"Action, Drama, War",90 min 
3652,Empire of Lust,Sang-hoon Ahn,,6.6,"Action, Drama, Romance",113 min 
3653,6 Ways To Die,Nadeem Soumah,"Vinnie Jones, Michael Rene Walton, Vivica A. Fox",4.1,"Action, Crime, Thriller",103 min 
3654,Katherine,Charles W. Bailey,"Tina Grimm, Tempast Wulf, Mel Heflin",5.3,"Action, Horror, Romance",80 min 
3655,Hood,Michael Lansu,"Thea Camara, Salvatore Covello, Harold Dennis",4.5,Action,100 min 
3656,Monk Comes Down the Mountain,Kaige Chen,,5.1,"Action, History",123 min 
3657,Helios,Lok Man Leung,"Jacky Cheung, Nick Cheung, Shawn Yue",5.5,"Action, Crime, Fantasy",118 min 
3658,The Wave,Roar Uthaug,"Kristoffer Joner, Thomas Bo Larsen, Ane Dahl Torp",7.3,"Action, Drama, Thriller",104 min 
3659,Bhaag Johnny,Shivam Nair,,5.7,"Action, Thriller",118 min 
3660,Boy 7,Lourens Blok,"Matthijs van de Sande Bakhuyzen, Ella-June Henrard, Tygo Gernandt",5.7,"Action, Sci-Fi, Thriller",90 min 
3661,Sword of Vengeance,Jim Weedon,"Stanley Weber, Edward Akrout, Misa Beric",4.4,Action,87 min 
3662,Dragon Blade,Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody",6.2,"Action, Adventure, Drama",127 min 
3663,Badlapur,Sriram Raghavan,"Nawazuddin Siddiqui, Varun Dhawan, Radhika Apte",7.6,"Action, Crime, Drama",128 min 
3664,Gangnam Blues,Ha Yoo,"Min-ho Lee, Rae-won Kim, Jin-young Jung",6.2,"Action, Crime, Drama",135 min 
3665,Full Strike,Chi-kin Kwok,"Ekin Cheng, Ronald Cheng, Josie Ho",5.0,"Action, Comedy, Sport",108 min 
3666,Freetown,Garrett Batty,"Henry Adofo, Michael Attram, Alphonse Menyo",4.6,"Action, Drama, Thriller",113 min 
3667,Vendetta,Jen Soska,"Dean Cain, Paul Wight, Michael Eklund",4.7,"Action, Drama",90 min 
3668,War Pigs,Ryan Little,"Luke Goss, Dolph Lundgren, Chuck Liddell",4.0,"Action, War",91 min 
3669,Monster Hunt,Raman Hui,"Wei Tang, Baihe Bai, Eric Tsang",6.3,"Action, Comedy, Fantasy",111 min 
3670,Checkmate,Timothy Woodward Jr.,"Danny Glover, Sean Astin, Vinnie Jones",4.3,"Action, Crime, Thriller",102 min 
3671,Wild City,Ringo Lam,"Louis Koo, Shawn Yue, Liya Tong",5.8,"Action, Crime, Thriller",120 min 
3672,Brothers,Karan Malhotra,"Akshay Kumar, Jackie Shroff, Sidharth Malhotra",7.0,"Action, Drama, Sport",156 min 
3673,To My Beloved,Aly Muritiba,"Fernando Alves Pinto, Mayana Neiva, Lourinelson Vladmir",6.0,"Action, Drama, Thriller",123 min 
3674,Holy Hell,Ryan LaPlante,"Ryan LaPlante, Alysa King, Michael Rawley",6.8,"Action, Comedy, Horror",89 min 
3675,Baby,Neeraj Pandey,"Akshay Kumar, Danny Denzongpa, Rana Daggubati",8.2,"Action, Crime, Thriller",159 min 
3676,Operator,Amariah Olson,"Ving Rhames, Luke Goss, Mischa Barton",4.4,"Action, Drama, Thriller",88 min 
3677,Lazer Team,Matt Hullum,"Alan Ritchson, Alexandria DeBerry, Irina Voronina",8.4,"Action, Comedy, Sci-Fi",90 min 
3678,Levski,Maxim Genchev,"Veselin Plachkov, Simeon Filipov, Maxim Genchev",3.9,"Action, Biography, Drama",130 min 
3679,Born to Dance,Tammy Davis,"Kherington Payne, John Tui, Kelvin Taylor",6.3,"Action, Sport",96 min 
3680,12 Rounds 3: Lockdown,Stephen Reynolds,"Jonathan Good, Roger R. Cross, Daniel Cudmore",5.5,"Action, Crime, Thriller",90 min 
3681,Rod the Stormtrooper: Episode V - The Hidden Darkness,Brad Schinkel,"Brian Reilly, Mike Delisle, Doug White",8.5,"Action, Comedy, Sci-Fi",60 min 
3682,Rod the Stormtrooper: Episode V - The Hidden Darkness,Brad Schinkel,"Brian Reilly, Mike Delisle, Doug White",8.5,"Action, Comedy, Sci-Fi",60 min 
3683,The Republic,Dimitris Tzetzas,"Prometheus Aleifer, Yannis Stankoglou, Takis Spiridakis",6.1,"Action, Crime, Thriller",112 min 
3684,Shark Killer,Sheldon Wilson,"Derek Theler, Erica Cerra, Paul du Toit",4.3,"Action, Thriller",88 min 
3685,Strayer's Chronicle,Takahisa Zeze,"Tsuyoshi Ihara, Renji Ishibashi, Yuina Kuroshima",4.6,Action,126 min 
3686,Diablo,Lawrence Roeck,"Scott Eastwood, Walton Goggins, Camilla Belle",8.7,"Action, Adventure, Thriller",90 min 
3687,The Throwaways,Tony Bui,"Peter Brooke, James Caan, Noel Clarke",5.1,"Action, Fantasy, Thriller",90 min 
3688,MSG: The Messenger,Jeetu Arora,"Saint Gurmeet Ram Rahim Singh Ji Insan, Daniel Kaleb, Fllora Saini",5.8,"Action, Comedy, Drama",197 min 
3689,Katham Katham,Babu Thooyavan,"Nandha, Nataraja Subramanian, Sanam Shetty",4.4,"Action, Thriller",143 min 
3690,Iron Girl: Ultimate Weapon,Ken'ichi Fujiwara,"Asami, Kirara Asuka, Hiroaki Iwanaga",5.8,Action,83 min 
3691,Smosh: The Movie,Alex Winter,"Ian Hecox, Anthony Padilla, Michael Ian Black",4.5,"Action, Adventure, Comedy",84 min 
3692,Batalon,Dmitriy Meskhiev,"Lesya Andreeva, Mariya Antonova, Mariya Aronova",6.3,"Action, Drama, History",120 min 
3693,Aoki Hagane no Arpeggio: Ars Nova DC,Mai Fuchigami,,5.3,"Animation, Action, Sci-Fi",105 min 
3694,Antigang,Benjamin Rocher,"Jean Reno, Alban Lenoir, Caterina Murino",5.9,"Action, Drama",90 min 
3695,If You Know Me,Gautham Menon,"Ajith Kumar, Arun Vijay, Trisha Krishnan",7.6,"Action, Drama, Mystery",168 min 
3696,Avengers Grimm,Jeremy M. Inman,"Casper Van Dien, Lauren Parkinson, Lou Ferrigno",2.7,"Action, Adventure, Fantasy",86 min 
3697,From Vegas to Macau II,Jing Wong,"Pak-Cheung Chan, Nick Cheung, David Chiang",5.2,"Action, Comedy",109 min 
3698,Hanuman,Jimmy Henderson,"Dara Ours, Savin Phillip, Ma Rynet",7.8,"Action, Drama",112 min 
3699,Yatchan,Vishnuvardhan,"Arya, Krishna Sekhar, Deepa Sannidhi",6.0,"Action, Comedy",147 min 
3700,Elixir,Matthew Lipke,"Dave Allen, Ben Ash, Bob Bolyard",6.5,"Action, Adventure, Drama",90 min 
3701,Chain of Command,Kevin Carraway,"Michael Jai White, Max Ryan, Steve Austin",3.5,"Action, Thriller",88 min 
3702,Undercover Duet,Mark Wu,"Ronald Cheng, Mark Wu, Ava Liu",4.0,"Action, Comedy",114 min 
3703,Ah Boys to Men 3: Frogmen,Jack Neo,"Tosh Zhang, Rajid Ahamed, Joey Leong",7.1,"Action, Comedy",148 min 
3704,Kaaki Sattai,R.S. Durai Senthilkumar,"Siva Karthikeyan, Prabhu, Sri Divya",5.6,Action,156 min 
3705,Shivam,Sreenivasa Reddy,"Tanikella Bharani, Brahmanandam, Pankaj Kesari",5.6,"Action, Comedy, Romance",168 min 
3706,Valiyavan,M. Saravanan,"Jai, Andrea Jeremiah, Bala Saravanan",5.0,Action,140 min 
3707,Temper,Puri Jagannadh,"Junior N.T.R., Kajal Agarwal, Ali",7.5,"Action, Drama",147 min 
3708,Sagaptham,Surendran,"Shanmugapandian, Neha Hinge, Shubra Aaiyappa",3.7,"Action, Drama",155 min 
3709,Purampokku,S.P. Jhananathan,"Arya, Shaam, Vijay Sethupathi",6.0,"Action, Crime, News",159 min 
3710,Hero,Nikhil Advani,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia",3.8,"Action, Drama, Romance",145 min 
3711,Mobile Suit Gundam: The Origin I - Blue-Eyed Casval,Takashi Imanishi,Karen Strassman,6.9,"Animation, Action, Drama",64 min 
3712,Lake Placid vs. Anaconda,A.B. Stone,"Corin Nemec, Yancy Butler, Skye Lourie",3.5,"Action, Horror, Sci-Fi",92 min 
3713,4Got10,Timothy Woodward Jr.,"Johnny Messner, Dolph Lundgren, Danny Trejo",3.9,"Action, Thriller, Western",84 min 
3714,Far Too Far,Justin Hunt,"Brandi Wethington, Abbey Hunt, Chris Overson",8.3,"Action, Crime, Drama",117 min 
3715,God of Thunder,Thomas Shapiro,"Max Aria, Jacqui Holland, Preston James Hillier",4.5,"Action, Adventure, Fantasy",91 min 
3716,Road Wars,Mark Atkins,"Chloe Farnworth, Cole Parker, John Freeman",2.6,"Action, Sci-Fi",90 min 
3717,Two Thumbs Up,Ho Leung Lau,"Francis Ng, Simon Yam, Leo Ku",6.3,"Action, Drama",103 min 
3718,Komban,M. Muthaiah,"Karthi, Lakshmi Menon, Raj Kiran",5.7,Action,136 min 
3719,Mega Shark vs. Kolossus,Christopher Ray,"Illeana Douglas, Amy Rider, Brody Hutzler",2.8,"Action, Horror, Sci-Fi",89 min 
3720,The Mind's Eye,Joe Begos,"Graham Skipper, Lauren Ashley Carter, John Speredakos",6.6,"Action, Horror, Sci-Fi",87 min 
3721,Essex Boys: Law of Survival,Steven M. Smith,"Jesse Birdsall, Chris Bell, Ross Boatman",3.8,"Action, Crime, Drama",88 min 
3722,Flight World War II,Emile Edwin Smith,"Faran Tahir, Robbie Kay, Aqueela Zoll",4.4,"Action, Adventure, Sci-Fi",85 min 
3723,Problem Solver,Marius Pocevicius,"Andrius Gecevicius, Sonata Paliulyte, Arnas Petkevicius",8.3,"Action, Comedy",75 min 
3724,Lailaa O Lailaa,Joshiy,"Mohanlal, Amala Paul",3.4,"Action, Thriller",168 min 
3725,Lion,Satya Deva,"Ali, Radhika Apte, Archana",3.9,"Action, Drama, Romance",143 min 
3726,KillerSaurus,Steve Lawson,"Julian Boote, Adam Collins, Helen Crevel",2.8,"Action, Sci-Fi, Thriller",75 min 
3727,Mr. Six,Hu Guan,"Xiaogang Feng, Yifeng Li, Kris Wu",6.2,Action,134 min 
3728,India's Daughter,Rupesh Paul,"Omkar Das Manikpuri, Amann Grewal, Vishal Om Prakash",6.4,"Action, Crime, Drama",110 min 
3729,Angry Painter,Kyu-hwan Jeon,"Alain Garneau, Ha-seok Jo, Moon Jong-won",4.8,"Action, Drama, Thriller",105 min 
3730,Srimanthudu,Koratalla Siva,"Jagapathi Babu, Mahesh Babu, Shruti K. Haasan",8.2,"Action, Drama",158 min 
3731,Traukinio apiplesimas kuri ivykde Saulius ir Paulius,Simonas Askelavicius,,7.0,"Action, Comedy",100 min 
3732,Samrajyam II: Son of Alexander,Perarasu,"Unni Mukundan, Devan, K.C. Shankar",2.2,"Action, Crime, Thriller",115 min 
3733,Kader Kuler Bou,Soubhik Kundu,"Koneenica Banerjee, Arindam Sil, Sankar Debnath",6.1,"Action, Crime, Drama",167 min 
3734,Veteran,Seung-wan Ryoo,"Jeong-min Hwang, Ah In Yoo, Hae-jin Yoo",7.4,"Action, Comedy, Crime",123 min 
3735,She Kills,Ron Bonk,"Jennie Russo, Trey Harrison, Michael Merchant",7.9,"Action, Horror",141 min 
3736,Jie jiu wu xian sheng,Sheng Ding,"Andy Lau, Ye Liu, Qianyuan Wang",7.0,"Action, Crime, Drama",105 min 
3737,Agnee 2,Iftakar Chowdhury,,6.6,Action,150 min 
3738,Uppi 2,Upendra,"Upendra, Kristina Akheeva, Parul Yadav",9.2,"Action, Mystery, Thriller",135 min 
3739,Who Am I 2015,Yinxi Song,,4.0,Action,102 min 
3740,Who Am I 2015,Yinxi Song,,4.0,Action,102 min 
3741,Maari,Balaji Mohan,"Dhanush, Kajal Agarwal, Vijay Yesudas",5.9,"Action, Comedy, Drama",138 min 
3742,Idyll,Tomaz Gorkic,"Nina Ivanisin, Lotos Sparovec, Nika Rozman",6.1,"Action, Horror, Thriller",83 min 
3743,Chandi Veeran,A. Sarkunam,,5.3,"Action, Drama, Romance",115 min 
3744,Double Barrel,Lijo Jose Pellissery,"Prithviraj Sukumaran, Indrajith, Arya",5.8,"Action, Comedy, Thriller",158 min 
3745,Heneral Luna,Jerrold Tarog,"John Arcilla, Mon Confiado, Arron Villaflor",9.0,"Action, History",118 min 
3746,Kick 2,Reddy Surender,"Tanikella Bharani, Brahmanandam, Nikitin Dheer",5.7,"Action, Comedy, Romance",170 min 
3747,Indian Soldier Never on Holiday,A.R. Murugadoss,"Vijay, Kajal Agarwal, Vidyut Jamwal",8.4,"Action, Crime, Thriller",133 min 
3748,Faraar,Baljit Singh Deo,"Gippy Grewal, Kainaat Arora, Jaggi Singh",7.3,Action,148 min 
3749,Thani Oruvan,M. Raja,"Jeyam Ravi, Nayanthara, Arvind Swamy",9.1,"Action, Thriller",160 min 
3750,Paayum Puli,Suseenthiran,"Vishal, Kajal Agarwal, Samuthirakani",5.4,Action,135 min 
3751,Far Out,Bijan Karim,"Moe Golkar, James Sirois, Anant Khehra",8.0,"Action, Crime, Thriller",114 min 
3752,Far Out,Bijan Karim,"Moe Golkar, James Sirois, Anant Khehra",8.0,"Action, Crime, Thriller",114 min 
3753,Jaws 19,Sergey A.,"Sergey A., Krolik Black, Eldar Bogunov",6.7,"Action, Horror, Thriller",63 min 
3754,Action Jackson,Prabhudheva,"Ajay Devgn, Shahid Kapoor, Prabhas",3.3,"Action, Comedy, Drama",144 min 
3755,Jersey Justice,John Charles Hunt,"Blanche Baker, Bo Svenson, Christopher Mann",8.1,"Action, Thriller",100 min 
3756,Dracula Untold,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon",6.3,"Action, Drama, Fantasy",92 min 
3757,Godzilla,Gareth Edwards,"Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston",6.5,"Action, Adventure, Sci-Fi",123 min 
3758,The Legend of Hercules,Renny Harlin,"Kellan Lutz, Gaia Weiss, Scott Adkins",4.2,"Action, Adventure, Fantasy",99 min 
3759,The Prince,Brian A Miller,"Jason Patric, Bruce Willis, John Cusack",4.6,"Action, Thriller",93 min 
3760,Seventh Son,Sergey Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges",5.5,"Action, Adventure, Fantasy",102 min 
3761,Urban Games,Bob Brown,"Shawn Dou, Michelle Chen, Siu Lung Sik",5.5,"Action, Thriller",89 min 
3762,Jai Ho,Sohail Khan,"Salman Khan, Tabu, Sunil Shetty",5.6,"Action, Drama",135 min 
3763,Jack Ryan: Shadow Recruit,Kenneth Branagh,"Chris Pine, Kevin Costner, Keira Knightley",6.2,"Action, Thriller",105 min 
3764,300: Rise of an Empire,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey",6.3,"Action, Drama, Fantasy",102 min 
3765,Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane",6.1,"Action, Adventure",98 min 
3766,Saints and Soldiers: The Void,Ryan Little,"Adam Gregory, Timothy S. Shoemaker, Michael Todd Behrens",5.0,"Action, Drama, War",94 min 
3767,Teenage Mutant Ninja Turtles,Jonathan Liebesman,"Megan Fox, Will Arnett, William Fichtner",5.9,"Action, Adventure, Comedy",101 min 
