title,pubmonth,pubday,id,edition,publisher,isbn13,language,pubyear,series,authors,pages
A Fuzzy Logic Approach to Property Searching in a Property Database,12.0,28.0,19,,AV Akademikerverlag GmbH & Co. KG.,9780000000000.0,,12.0,,Slaby Jiri,168.0
A GIS-Database Centric Architeture for 3D-Mmog Virtual Worlds,5.0,11.0,20,,AV Akademikerverlag GmbH & Co. KG.,9780000000000.0,,13.0,,Hor Abdel-Hadi,128.0
A Global Geochemical Database for Environment and Resource Management: Final Report of IGCP Project 259,1.0,1.0,21,,Bernan Associates,9790000000000.0,,95.0,Earth Sciences,"UNESCO, A G. Darnley",122.0
A Guide On,9.0,28.0,22,,AuthorHouse,9780000000000.0,,6.0,,"Sandra Raby, Lisa Ruggeri",164.0
"A Guide to Behavioral Neuroscience Including History of Neuroscience, List of Neuroscientists and Databases, Concepts, Theory, Experimental Methods, and More",2.0,28.0,23,,Webster's Digital Services,9780000000000.0,,12.0,,Catherine Venue,290.0
A Guide to SQL,1.0,1.0,24,9.0,Cengage Learning,9780000000000.0,,15.0,,Philip J. Pratt,336.0
A Methodology for Processing Raw LIDAR Data to Support Urban Flood Modelling Framework: UNESCO-IHE PhD Thesis,4.0,12.0,25,,CRC Press,9780000000000.0,,12.0,,Ahmad Fikri Bin Abdullah,220.0
A new integrated web centric database-batch   coupled framework for object recognition and classification in security applications.,5.0,11.0,26,,BiblioLabsII,9780000000000.0,,12.0,,Sampathkumar Veeraraghavan,140.0
A Pascal Database Book,2.0,1.0,27,,"Oxford University Press, USA",9780000000000.0,,86.0,Oxford Applied Mathematics and Computing Science Series,Julian Ullman,280.0
A Practical Approach to Database Systems,1.0,28.0,28,,Akademiai Kiado Rt.,9790000000000.0,,95.0,Information Systems,Pal Quittner,291.0
A Practical Guide to Data Base Design,12.0,1.0,29,,Prentice Hall Professional Technical Reference,9780000000000.0,,89.0,,Rex Hogan,208.0
A Practical Guide to Data Base Management,9.0,1.0,30,,"Wiley, John & Sons, Incorporated",9780000000000.0,,82.0,"Auerbach Data Processing Management Library ,#4",James Hannan,110.0
A Practitioner's Guide To Upgrading To Sybase Ase 15,10.0,19.0,31,,Service Oriented Architecture,9780000000000.0,,9.0,,Mich Talebzadeh,160.0
A PROLOG Database System,6.0,6.0,32,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,84.0,Electronic & Electrical Engineering Research Studies,Deyi Li,207.0
A Question of Balance: Private Rights and the Public Interest in Scientific and Technical Databases,12.0,16.0,33,,National Academies Press,9780000000000.0,,99.0,,"Committee for a Study on Promoting Access to Scientific and Technical Data for the Public Interest, National Research Council",158.0
A Quick Course in Access Version 2 for Windows: Computer Training Books for Busy People,9.0,28.0,34,,Nelson Education Limited,9780000000000.0,,94.0,Quick Course Series,"Joyce Cox, Mike Elison, Mike Elison",171.0
A Relational Data Base Management System,12.0,1.0,35,,"Wiley, John & Sons, Incorporated",9780000000000.0,,79.0,Computing and Information Processing Ser.,Andrew T. F. Hutt,240.0
A Rule-Based Approach to Database Security.,7.0,17.0,36,,BiblioLabsII,9780000000000.0,,12.0,,IV Kopaliani,332.0
"A Vegetation Database for the Colorado River Ecosystem from Glen Canyon Dam to the Western Boundary of Grand Canyon National Park, Arizona: USGS Open-File Report 2008-1216",2.0,11.0,37,,BiblioGov,9780000000000.0,,13.0,,"United U.S. Department of the Interior (Created by), et al., Barbara E. Ralston",48.0
AbacusLaw: Hands-On Tutorial and Guide,6.0,22.0,38,1.0,Prentice Hall,9780000000000.0,,10.0,,Thomas F. Goldman,336.0
ABCs of Lotus Notes 4.5,4.0,1.0,39,,"Wiley, John & Sons, Incorporated",9780000000000.0,,97.0,,Rupert Clayton,496.0
Absolute Beginner's Guide to Databases,3.0,28.0,40,,Que,9780000000000.0,,2.0,Absolute Beginner's Guide Series,John Petersen,336.0
Accelerated SQL Server 2008,5.0,23.0,41,1.0,Apress,9780000000000.0,,8.0,Expert's Voice Series,"Robert Walters, Michael Coles, Fabio Claudio Ferracchiati, Robert Rae, Donald Farmer",816.0
Access 2000 Advanced Functions,6.0,1.0,42,,"ENI Publishing, France",9780000000000.0,,0.0,Finding Your Way Ser.,Eni Publishing Ltd,160.0
Access 2000 Developer's Handbook,12.0,2.0,43,1.0,Wiley,9780000000000.0,,99.0,Access 2000 Developer's Handbook Series,"Paul Litwin, Ken Getz, Mike Gilbert",1071.0
Access 2000 Essentials Advanced,11.0,24.0,44,1.0,Prentice Hall,9780000000000.0,,99.0,Essentials Series for Office 2000 Series,"Robert L. Ferrett, John Preston, Sally Preston",232.0
Access 2000 Essentials Basic,8.0,26.0,45,1.0,Prentice Hall,9780000000000.0,,99.0,Essentials Series for Office 2000 Series,"Sally Preston, Robert Ferrett, John Preston, Sally Preston",238.0
Access 2000 Essentials Intermediate,8.0,17.0,46,1.0,Pearson,9780000000000.0,,99.0,Essentials Series,"Robert Ferrett, Sally Preston, John Preston, Sally Preston",256.0
Access 2000 for Windows: Visual QuickStart Guide,6.0,30.0,47,1.0,Peachpit Press,9780000000000.0,,99.0,Visual QuickStart Guide Series,"Deborah S. Ray, Eric J. Ray",272.0
Access 2000 for Windows For Dummies: Quick Reference,5.0,28.0,48,1.0,Wiley,9780000000000.0,,99.0,For Dummies Quick Reference Series,"Alison Barrows, Alison Barrows",240.0
Access 2000 For Windows,5.0,28.0,49,1.0,Wiley,9780000000000.0,,99.0,For Dummies Series,John Kaufeld,408.0
Access 2000 Programming,8.0,1.0,50,,"Wrox Press, Inc.",9780000000000.0,,0.0,Professional Ser.,"Ian Blackburn, Steven K. Thompson (Joint Author), Felipe Martins (Joint Author), Robin Dewson, Scott Hanselman",904.0
Access 2000 Programming Weekend Crash Course,1.0,28.0,51,1.0,Wiley,9780000000000.0,,0.0,"Weekend Crash Course Series ,#1","Cary N. Prague, Jennifer Reardon, Lawrence S. Kasevich, Phuc V. Phan, Diana Reid",648.0
Access 2000: The Complete Reference,5.0,28.0,52,,"McGraw-Hill Companies, The",9780000000000.0,,99.0,Complete Reference Series,Virginia Andersen,1288.0
Access 2000: 074401s3,1.0,28.0,53,,Element K LLC,9780000000000.0,,1.0,,,
Access 2002 Bible with CD-ROM,1.0,28.0,54,1.0,Wiley,9780000000000.0,,1.0,"Bible Series ,#73","Cary N. Prague, Michael R. Irwin",1392.0
Access 2002 - Complete,10.0,28.0,55,1.0,"McGraw-Hill Companies, The",9780000000000.0,,1.0,"O'Leary Microsoft, Office XP Ser.","Timothy J. O'Leary, Linda I. O'Leary, Kathryn M. Lee",720.0
Access 2002 Desktop Developer's Handbook,10.0,28.0,56,1.0,Wiley,9780000000000.0,,1.0,Developer's Handbook Series,"Paul Litwin, Ken Getz, Mike Gunderloy",1439.0
Access 2002 for Dummies,6.0,1.0,57,1.0,Wiley,9780000000000.0,,1.0,For Dummies Series,"John Kaufeld, Michael MacDonald (Revised by)",384.0
Access 2002: A Comprehensive Approach,8.0,8.0,58,1.0,McGraw-Hill Education,9780000000000.0,,2.0,,McGraw-Hill Education,688.0
Access 2002: A Tutorial to Accompany Peter Norton's Introduction to Computers,4.0,19.0,59,4.0,"McGraw-Hill Companies, The",9780000000000.0,,2.0,,Peter Norton,285.0
Access 2002 VBA Handbook  ,11.0,28.0,60,1.0,Wiley,9780000000000.0,,1.0,Developer's Handbook Series,"Susann Novalis, Dana Jones",880.0
Access 2002: The Complete Reference  ,4.0,19.0,61,1.0,McGraw-Hill Professional Publishing,9780000000000.0,,1.0,Complete Reference Series,"Virginia Andersen, Andersen, Megg Morin (Editor)",1220.0
"Access 2003: Intermediate, 2nd Edition + Certblaster & CBT, Instructor's Edition",2.0,28.0,62,,Axzo Press,9780000000000.0,,6.0,,Axzo Press,188.0
Access 2003 fur Dummies,8.0,19.0,63,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,German,5.0,Fur Dummies Series,John Kaufeld,373.0
Access 2003: Quick Course 1,1.0,28.0,64,1.0,"Labyrinth Publications, Incorporated",9780000000000.0,,4.0,Briefcase,"Michelle Marotti, Brian Favro",224.0
Access 2003 Programming Weekend Crash Course,9.0,29.0,65,1.0,Wiley,9780000000000.0,,3.0,"Weekend Crash Course Series ,#4","Cary N. Prague, Jennifer Reardon, Lawrence S. Kasevich, Diana Reid, Phuc V. Phan",504.0
Access 2007 For Dummies,12.0,18.0,66,1.0,Wiley,9780000000000.0,,6.0,For Dummies Series,"Laurie Ulrich Fuller, Ken Cook, John Kaufeld",432.0
Access 2007 Forms & Reports For Dummies,12.0,26.0,67,1.0,Wiley,9780000000000.0,,6.0,For Dummies Series,"Brian Underdahl, Darlene Underdahl",390.0
Access 2007,2.0,9.0,68,,"BarCharts, Incorporated",9780000000000.0,,7.0,Quickstudy,John Hales,6.0
Access 2007: The Missing Manual,1.0,28.0,69,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,7.0,Missing Manual Series,Matthew MacDonald,754.0
Access 2007  ,8.0,25.0,70,,Sterling,9780000000000.0,,7.0,Quamut Series,Quamut,6.0
Access 2007 VBA Programming For Dummies,2.0,12.0,71,1.0,Wiley,9780000000000.0,,7.0,For Dummies Series,"Alan Simpson, Joseph C. Stockman",408.0
"Access 2010: Basic + Certblaster, Student Manual with Data",4.0,28.0,72,,Axzo Press,9780000000000.0,,11.0,,Axzo Press,224.0
Access 2013 Absolute Beginner's Guide,4.0,30.0,73,1.0,Que,9780000000000.0,,13.0,Absolute Beginner's Guide Series,Alison Balter,388.0
Access 2013 All-in-One For Dummies,4.0,8.0,74,1.0,Wiley,9780000000000.0,,13.0,For Dummies Series,"Alison Barrows, Joseph C. Stockman, Allen G. Taylor",792.0
Access 2013 on Demand,5.0,30.0,75,1.0,Que,9780000000000.0,,13.0,On Demand Series,"Steve Johnson, . Perspection Inc.",492.0
Access 97,5.0,1.0,76,,"BarCharts, Incorporated",9780000000000.0,,97.0,Quick Study Computer Series,BarCharts,4.0
Access 97 Bible,1.0,28.0,77,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,97.0,"Bible Series ,#366","Cary N. Prague, Michael R. Irwin",1176.0
Access 97 Developer's Handbook,12.0,1.0,78,3.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,96.0,Developer's Handbook Series,"Mike Gilbert, Paul Litwin, Mike Gilbert, Ken Getz",1485.0
Access 97 Developer's Set  ,12.0,15.0,79,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,97.0,Developer's Handbook Series,"Ken Getz, Mike Gilbert, Paul Litwin",2560.0
Access 97 Expert Solutions,3.0,7.0,80,,Pearson Education,9780000000000.0,,96.0,,Stan Leszynski,1248.0
Access 97 for Windows  ,12.0,1.0,81,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,96.0,Idg Teach Yourself Series,Charles Siegel,496.0
Access 97 for Windows for Dummies: Quick Reference,1.0,28.0,82,1.0,Wiley,9780000000000.0,,97.0,For Dummies Quick Reference Series,"Alison Barrows, Dummies",226.0
Access 97 in 14 Days  ,12.0,28.0,83,4.0,Sams,9780000000000.0,,96.0,Teach Yoursefl Ser.,"Paul Cassel, Paul Teach Yourself Acces Cassel, Paul Cassell",752.0
Access 97 SmartStart,9.0,19.0,84,1.0,Pearson,9780000000000.0,,97.0,SmartStart Series,"Robert Ferrett, John Preston, Robert L. Ferrett, Sally M. Preston, Sally Preston",352.0
Access Control in Data Management Systems,6.0,1.0,85,,Morgan and Claypool Publishers,9780000000000.0,,10.0,Synthesis Lectures on Data Management Series,"Elena Ferrari, M. Tamer ï¿½ï¿½zsu (Editor)",118.0
Access Cookbook,3.0,18.0,86,2.0,"O'Reilly Media, Incorporated",9780000000000.0,,4.0,,"Ken Getz, Paul Litwin, Andy Baron",840.0
Access Database Design and Programming: What You Really Need to Know to Develop with Access,8.0,8.0,87,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,97.0,Nutshell Handbooks Series,"Steven Roman PhD, Ronald Petrusha (Editor)",270.0
Access Database Design and Programming,1.0,28.0,88,3.0,"O'Reilly Media, Incorporated",9780000000000.0,,2.0,Nutshell Handbooks Series,"Steven Roman PhD, Ron Petrusha (Editor)",450.0
Access Database Design & Programming,7.0,8.0,89,2.0,"O'Reilly Media, Incorporated",9780000000000.0,,99.0,Nutshell Handbooks Series,"Steven Roman PhD, Ron Petrusha (Editor)",432.0
Access for Windows 95 Bible,10.0,1.0,90,3.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,95.0,Bible Series,"Cary N. Prague, Levine-Young",1152.0
Access for Windows 95: The Visual Learning Guide,10.0,1.0,91,,Crown Publishing Group,9780000000000.0,,95.0,Visual Learning Guides,"David C. Gardner, David A. Sauer",272.0
Access for Windows 95 for Dummies,12.0,1.0,92,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,95.0,For Dummies Series,John Kaufeld,384.0
Access for Windows 97 for Dummies,1.0,28.0,93,1.0,Wiley,9780000000000.0,,97.0,For Dummies Series,John Kaufeld,384.0
Access Forms & Reports For Dummies,9.0,30.0,94,1.0,Wiley,9780000000000.0,,5.0,For Dummies Series,Brian Underdahl,408.0
Access Hacks,3.0,11.0,95,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,5.0,Hacks Series,"Ken Bluttman, Bluttman Ken",352.0
Access VBA Programming,8.0,23.0,96,1.0,McGraw-Hill Professional Publishing,9780000000000.0,,4.0,Programming Ser.,"Charles Brown, Ron Petrusha",464.0
Accessible Access 2003,7.0,1.0,97,1.0,Springer London,9780000000000.0,,5.0,,"Mark Whitehorn, Bill Marklyn",378.0
"Accessing Federal Data Bases for Contaminated Site Clean-up Technologies, Ed. 4: October 1995",8.0,14.0,98,,BiblioGov,9780000000000.0,,12.0,,U.S. Environmental Protection Agency (Created by),68.0
"Accessing Federal Databases For Contaminated Site Clean-Up Technologies, Ed. 2",8.0,14.0,99,,BiblioGov,9780000000000.0,,12.0,,U.S. Environmental Protection Agency (Created by),54.0
Accounting and Auditing Research and Databases: Practitioner's Desk Reference,10.0,9.0,100,1.0,Wiley,9780000000000.0,,12.0,,Thomas R. Weirich,255.0
Accounting Database Design and T-SQL Reporting: Accounting Information System Design,2.0,18.0,101,,CreateSpace Independent Publishing Platform,9780000000000.0,,11.0,,Derek Liew,172.0
Accounting Information System and Database.. >CUSTOM<,1.0,28.0,102,,Pearson Custom Publishing,9780000000000.0,,8.0,,Cartehoffer,
Accounting Research Directory: The Database of Accounting Literature,4.0,28.0,103,2.0,"Wiener, Markus Publishers, Incorporated",9780000000000.0,,89.0,,"Lawrence Brown, Miklos Vasarhelyi, John Consaul Gardner",700.0
Achieving Extreme Performance with Oracle Exadata,2.0,11.0,104,1.0,McGraw-Hill Professional Publishing,9780000000000.0,,11.0,Oracle Press Series,"Rick Greenwald, Robert Stackowiak, Maqsood Alam, Mans Bhuller",432.0
Achieving Information Integrity In Databases For Open Systems,12.0,2.0,105,,AV Akademikerverlag GmbH & Co. KG.,9780000000000.0,,10.0,,"Khurana Reema, V. Mandke Vijay",224.0
ACT! 2006 For Dummies,12.0,12.0,106,1.0,Wiley,9780000000000.0,,5.0,For Dummies Series,Karen S. Fredricks,394.0
"Active and Real-Time Database Systems  : Proceedings of the First International Workshop on Active and Real-Time Database Systems, SkÌ¦vde, Sweden, 9-11 June 1995",12.0,1.0,107,1.0,Springer London,9780000000000.0,,95.0,Workshops in Computing Series,"Mikael Berndtsson (Editor), Jorgen Hansson (Editor)",266.0
"Active Media Technology: 8th International Conference, AMT 2012, Macau, China, December 4-7, 2012, Proceedings",10.0,29.0,108,1.0,Springer Berlin Heidelberg,9780000000000.0,,12.0,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI ,#7669","Runhe Huang (Editor), Ali A. Ghorbani (Editor), Takahira Yamaguchi (Editor), Gabriella Pasi (Editor), Neil Yen (Editor)",687.0
Active Rules in Database Systems,11.0,6.0,109,1.0,Springer New York,9780000000000.0,,98.0,Monographs in Computer Science Series,Norman W. Paton (Editor),439.0
Activeeducation's Access 2000 Intermediate  ,3.0,28.0,110,,ActiveEducation,9780000000000.0,,0.0,,"Scott Palmer, Ron Pronk (Editor), Holly Freeman (Editor), ActiveEducation Staff",194.0
Acute Hazardous Events Data Base Appendices to Final Report,8.0,11.0,111,,BiblioGov,9780000000000.0,,12.0,,U.S. Environmental Protection Agency (Created by),212.0
Acute Hazardous Events Data Base Final Report,8.0,11.0,112,,BiblioGov,9780000000000.0,,12.0,,U.S. Environmental Protection Agency (Created by),178.0
Acute Hazardous Events Data Base: Executive Summary - Interim Final,8.0,11.0,113,,BiblioGov,9780000000000.0,,12.0,,U.S. Environmental Protection Agency (Created by),32.0
Adaptive Business Intelligence,11.0,9.0,114,,Springer Berlin Heidelberg,9780000000000.0,,10.0,,"Zbigniew Michalewicz, Martin Schmidt, Matthew Michalewicz, Constantin Chiriac",246.0
Adaptive Cryptographic Access Control,8.0,16.0,115,1.0,Springer US,9780000000000.0,,10.0,"Advances in Information Security Series ,#48","Anne V. D. M. Kayem, Selim G. Akl, Patrick Martin",138.0
"Adaptive Information : Improving Business Through Semantic Interoperability, Grid Computing, and Enterprise Integration",9.0,28.0,116,1.0,Wiley,9780000000000.0,,4.0,"Wiley Series in Systems Engineering and Management Series ,#32","Jeffrey T. Pollock, Ralph Hodgson, Patrick Gannon (Foreword by)",440.0
Adaptive Intrusion Tolerant Database Systems,12.0,28.0,117,,VDM Verlag,9780000000000.0,,8.0,,"Pramote Luenam, Peng Liu, Anthony F. Norcio",172.0
"Adaptive Multimedia Retrieval. Understanding Media and Adapting to the User: 7th International Workshop, AMR 2009, Madrid, Spain, September 24-25, 2009, Revised Selected Papers",7.0,14.0,118,1.0,Springer Berlin Heidelberg,9780000000000.0,,11.0,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI ,#6535","Marcin Detyniecki (Editor), Ana Garcia-Serrano (Editor), Andreas Nurnberger (Editor)",159.0
Adaptive Query Processing,7.0,1.0,119,,Now Publishers,9780000000000.0,,7.0,,"Amol Deshpande, Zachary Ives, Vijayshankar Raman",160.0
Admin911 Sql Server 2000,1.0,1.0,120,,"McGraw-Hill Companies, The",9780000000000.0,,1.0,Survival Guide,"Brian Knight, Kathy Ivens (Editor)",388.0
Administering a Microsoft SQL Server 2000 Database: Msm2072cp Moc Class Pack,1.0,28.0,121,,Element K LLC,9780000000000.0,,3.0,,,
Administering Informix Dynamic Server: Building the Foundation,10.0,15.0,122,,Mc Press,9780000000000.0,,8.0,,Carlton Doe,400.0
Administrator's Guide To Sybase ASE 15,4.0,17.0,123,,Jones & Bartlett Learning,9780000000000.0,,6.0,,"Jeffrey Garbus, Ashish Gupta",472.0
ADO Examples and Best Practices,5.0,1.0,124,,Apress,9780000000000.0,,0.0,,"William R. Vaughn, William Vaughan (Other)",425.0
ADO: Active X Data Objects,7.0,4.0,125,1.0,"O'Reilly Media, Incorporated",9780000000000.0,,1.0,,"Jason T Roff, Nancy Kotary (Editor)",624.0
ADO Programming For Dummies,11.0,15.0,126,1.0,"Wiley, John & Sons, Incorporated",9780000000000.0,,0.0,For Dummies Series,Rob Krumm,477.0
"ADO.NET 3.5 Cookbook, 2E",3.0,1.0,127,2.0,"O'Reilly Media, Incorporated",9780000000000.0,,8.0,Cookbooks (O'Reilly) Series,Bill Hamilton,992.0
ADO.NET and ADO Examples and Best Practices for VB Programmers,2.0,5.0,128,2.0,Apress,9780000000000.0,,2.0,,"William (Bill) Vaughn, Jim Fawcette (Foreword by)",771.0
ADO.NET Examples and Best Practices for C# Programmers,4.0,10.0,129,1.0,Apress,9780000000000.0,,2.0,,"Peter D. Blackburn, William (Bill) Vaughn, William R. Vaughan",384.0
Ado.Net Programming,7.0,28.0,130,,"O'Reilly Media, Incorporated",9780000000000.0,,2.0,,Arlen S Feldman,592.0
ADO.NET Programming in Visual Basic.NET,12.0,27.0,131,2.0,Prentice Hall,9780000000000.0,,2.0,,"Steven E. Holzner, Bob Howell, Robert Howell",406.0
Advanced Approaches to Intelligent Information and Database Systems,4.0,15.0,132,,Springer International Publishing,9780000000000.0,,14.0,Studies in Computational Intelligence Series,"Janusz Sobecki (Editor), Veera Boonjing (Editor), Suphamit Chittayasothorn (Editor)",366.0
"Advanced Computing Applications, Databases and Networks",10.0,1.0,133,1.0,Alpha Science International Ltd.,9790000000000.0,,11.0,,Shahin Ara Begum,
"Advanced Conceptual Modeling Techniques: ER 2002 Workshops - ECDM, MobIMod, IWCMQ, and eCOMO, Tampere, Finland, October 7-11, 2002, Proceedings",12.0,5.0,134,1.0,Springer Berlin Heidelberg,9780000000000.0,,3.0,"Lecture Notes in Computer Science Series ,#2784","Antoni Olive (Editor), Masatoshi Yoshikawa (Editor), Eric S.K. Yu (Editor)",452.0
"Advanced Data Mining and Applications: 6th International Conference, ADMA 2010, Chongqing, China, November 19-21, 2010, Proceedings, Part I",3.0,10.0,135,1.0,Springer Berlin Heidelberg,9780000000000.0,,11.0,"Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence Series ,#6440","Longbing Cao (Editor), Yong Feng (Editor), Jiang Zhong (Editor)",628.0
Advanced Data Mining Techniques,3.0,4.0,136,1.0,Springer Berlin Heidelberg,9780000000000.0,,8.0,,"David L. Olson, Dursun Delen",180.0
Advanced Data Warehouse Design: From Conventional to Spatial and Temporal Applications,3.0,15.0,137,1.0,Springer Berlin Heidelberg,9780000000000.0,,8.0,Data-Centric Systems and Applications Series,"Elzbieta Malinowski, Esteban Zimanyi",444.0
Advanced Database Implementation and Benchmarking,5.0,28.0,138,,AV Akademikerverlag GmbH & Co. KG.,9780000000000.0,,14.0,,Narayanan Valliappan,76.0
Advanced Database Indexing,11.0,30.0,139,1.0,Springer US,9780000000000.0,,99.0,"Advances in Database Systems Series ,#17","Yannis Manolopoulos, Yannis Theodoridis, Vassilis Tsotras",286.0
"Advanced Database Query Systems: Techniques, Applications and Technologies",3.0,31.0,140,,IGI Global,9780000000000.0,,11.0,,"Li Yan (Editor), Zongmin Ma (Editor)",412.0
Advanced Database Systems,5.0,1.0,141,1.0,Elsevier Science,9780000000000.0,,97.0,Morgan Kaufmann Series in Data Management Systems Series,Carlo Zaniolo,576.0
"Advanced Database Systems: Tenth British National Conference on Databases, BNCDD 10, Aberdeen, Scotland, July 6-8, 1992 Proceedings",7.0,1.0,142,,"Springer-Verlag New York, LLC",9780000000000.0,,92.0,Lecture Notes in Computer Science,"M. D. Gray (Editor), J. Hartmanis (Editor), G. Goos (Editor), R. J. Lucas (Editor)",260.0
Advanced Database Technology And Design,8.0,31.0,143,1.0,"Artech House, Incorporated",9780000000000.0,,0.0,Artech House Computing Library Series,"Mario Piattini, Oscar Diaz (Editor)",558.0
"Advanced DBA Certification Guide and Reference: for DB2 Universal Database v8.1 for Linux, UNIX, and Windows",7.0,10.0,144,,IBM Press,9780000000000.0,,3.0,IBM Press Series--Information Management,"Dwaine Snow, Thomas Xuan Phan",800.0
Advanced Debugging Methods,9.0,28.0,145,,Springer US,9780000000000.0,,12.0,"Springer International Series in Engineering and Computer Science ,#568",Raimondas Lencevicius,183.0
"Advanced Information Systems Engineering: 21st International Conference, CAiSE 2009, Amsterdam, The Netherlands, June 8-12, 2009, Proceedings",6.0,1.0,146,1.0,Springer Berlin Heidelberg,9780000000000.0,,9.0,"Lecture Notes in Computer Science / Information Systems and Applications, incl. Internet/Web, and HCI Series ,#5565","Pascal van Eck (Editor), Jaap Gordijn (Editor), Roel J. Wieringa (Editor)",562.0
Advanced Oracle SQL Tuning: The Definitive Reference,3.0,5.0,147,,Rampant TechPress,9780000000000.0,,14.0,,Donald K. Burleson,782.0
Advanced Oracle Tuning and Administration,10.0,31.0,148,,McGraw-Hill Professional Publishing,9780000000000.0,,96.0,,"Eyal Aronoff, Noorali Sonawalla",595.0
Advanced Oracle Utilities: The Definitive Reference,3.0,21.0,149,,Rampant TechPress,9780000000000.0,,14.0,,"Bert Scalzo, Donald Burleson, Steve Callan",750.0
Advanced Programming in Visual Basic 6.0 with Cd,4.0,28.0,150,1.0,"McGraw-Hill Companies, The",9780000000000.0,,0.0,,"Julia Case Bradley, Anita C. Millspaugh",800.0
Advanced Relational Programming,6.0,30.0,151,,"Springer-Verlag New York, LLC",9780000000000.0,,96.0,Mathematics and Its Applications Series,"Philippe Cacace, Gainfranco Lamperti",416.0
